                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.6341,                 3.9378,                 4.0645,                0.00034,                0.01316,                 0.0009,                  9e-05,                 4.2336,                  4.492,                 4.1887,             0.00040675,             0.00040675,             0.00040675
                      1,                   3.65,                 3.0006,                 3.3841,                0.81202,                0.06641,                0.04014,                0.01416,                 3.5661,                 3.3241,                 3.7773,              0.0008207,              0.0008207,              0.0008207
                      2,                 3.1492,                 2.7603,                  3.075,                0.61047,                 0.1653,                 0.0458,                0.01417,                 3.4888,                 19.833,                 4.4265,              0.0012319,              0.0012319,              0.0012319
                      3,                 2.9135,                 2.5876,                 2.7701,                0.65552,                0.15201,                0.08823,                0.02946,                 3.2574,                 4.1429,                 3.2883,              0.0012376,              0.0012376,              0.0012376
                      4,                 2.8424,                 2.4802,                 2.6076,                0.68487,                0.14027,                0.11411,                0.03932,                 2.9177,                 3.0858,                 2.8894,              0.0012376,              0.0012376,              0.0012376
                      5,                 2.6821,                 2.3197,                 2.5001,                 0.7061,                0.13642,                0.13562,                0.03907,                 2.8042,                 2.7419,                 2.8591,              0.0012335,              0.0012335,              0.0012335
                      6,                 2.6066,                 2.3853,                 2.4493,                0.67343,                0.12239,                0.11421,                0.04122,                  2.934,                 2.8156,                 2.8962,              0.0012294,              0.0012294,              0.0012294
                      7,                 2.4814,                 2.2327,                 2.3271,                0.14547,                0.12233,                0.08691,                0.03608,                 3.0216,                 3.3126,                 2.9165,              0.0012252,              0.0012252,              0.0012252
                      8,                 2.4903,                 2.2202,                 2.2717,                0.74197,                0.22202,                0.21248,                0.09072,                 2.4076,                 2.2811,                 2.4454,              0.0012211,              0.0012211,              0.0012211
                      9,                 2.3307,                 2.0181,                  2.173,                0.74839,                0.28097,                0.24966,                0.09824,                 2.4471,                 2.4836,                 2.4729,               0.001217,               0.001217,               0.001217
                     10,                 2.2914,                   2.05,                 2.1608,                0.57659,                0.26838,                0.27144,                0.11863,                 2.3996,                 2.1856,                 2.4499,              0.0012129,              0.0012129,              0.0012129
                     11,                 2.2033,                 1.8934,                 2.0382,                0.66326,                0.33621,                0.32048,                0.14146,                 2.2624,                 2.1508,                 2.3155,              0.0012087,              0.0012087,              0.0012087
                     12,                 2.2122,                 1.8881,                 2.0495,                0.57085,                0.31881,                0.29619,                0.13468,                 2.2621,                 1.9628,                 2.3167,              0.0012046,              0.0012046,              0.0012046
                     13,                 2.1157,                 1.8181,                 1.9714,                0.59263,                0.34276,                0.34061,                0.14182,                  2.298,                 2.0118,                 2.2995,              0.0012005,              0.0012005,              0.0012005
                     14,                 2.1343,                 1.8006,                 1.9745,                0.62038,                0.31455,                0.32162,                0.14441,                 2.1731,                 2.0176,                 2.2374,              0.0011964,              0.0011964,              0.0011964
                     15,                 2.0686,                 1.8024,                 1.9366,                 0.7042,                0.37972,                0.40116,                0.17343,                  2.202,                 1.7996,                 2.2147,              0.0011922,              0.0011922,              0.0011922
                     16,                 2.0823,                 1.8042,                 1.9524,                0.65761,                0.42908,                0.43202,                0.18224,                 2.1587,                 1.7292,                 2.2254,              0.0011881,              0.0011881,              0.0011881
                     17,                 2.0559,                 1.6721,                 1.8982,                0.69666,                0.31829,                0.35631,                0.15997,                 2.0404,                 1.8874,                 2.0993,               0.001184,               0.001184,               0.001184
                     18,                 1.9808,                 1.7328,                  1.876,                0.72476,                0.41741,                0.45621,                 0.2087,                 1.9903,                 1.6609,                 2.0717,              0.0011799,              0.0011799,              0.0011799
                     19,                 1.9293,                 1.6286,                 1.8002,                0.66991,                0.45497,                0.44045,                0.17947,                 2.0241,                 1.6746,                 2.0712,              0.0011757,              0.0011757,              0.0011757
                     20,                 1.9218,                 1.6093,                 1.8038,                0.72095,                0.40855,                0.41848,                0.19289,                 2.0872,                 1.6719,                 2.1457,              0.0011716,              0.0011716,              0.0011716
                     21,                 1.9009,                 1.6394,                 1.7727,                0.72498,                0.41865,                0.45334,                0.21163,                 2.0157,                 1.6153,                 2.0192,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.9038,                 1.5923,                 1.7504,                0.76272,                0.46507,                0.52242,                0.24195,                 1.9615,                 1.5001,                 1.9782,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.8321,                  1.548,                   1.73,                0.75709,                0.44483,                0.49853,                0.22553,                 1.9479,                  1.554,                 1.9901,              0.0011593,              0.0011593,              0.0011593
                     24,                  1.893,                  1.602,                 1.7846,                 0.6437,                0.44282,                0.44981,                0.21349,                 1.9624,                 1.6257,                  1.989,              0.0011551,              0.0011551,              0.0011551
                     25,                 1.8071,                 1.5127,                 1.6784,                0.78521,                0.46972,                0.52539,                0.22722,                  1.983,                 1.4773,                 1.9707,               0.001151,               0.001151,               0.001151
                     26,                 1.8468,                 1.5289,                 1.7138,                0.76609,                0.46114,                0.48578,                0.22527,                 1.9332,                 1.6143,                 2.0086,              0.0011469,              0.0011469,              0.0011469
                     27,                 1.8127,                  1.449,                 1.6828,                0.65356,                0.51023,                0.57547,                0.27027,                  1.846,                 1.6095,                 1.8999,              0.0011428,              0.0011428,              0.0011428
                     28,                 1.8135,                 1.4995,                 1.6943,                0.79082,                0.45024,                0.49981,                0.24209,                 1.9287,                 1.4543,                 1.9468,              0.0011386,              0.0011386,              0.0011386
                     29,                 1.7856,                 1.4931,                 1.6504,                0.72599,                0.49316,                0.51716,                0.24787,                 1.8595,                 1.4451,                 1.8896,              0.0011345,              0.0011345,              0.0011345
                     30,                 1.7704,                 1.4856,                 1.6661,                0.75833,                0.49144,                0.54548,                0.25735,                 1.8709,                 1.3909,                 1.9231,              0.0011304,              0.0011304,              0.0011304
                     31,                 1.7424,                 1.3952,                 1.6228,                0.74777,                 0.4473,                0.49159,                0.25694,                 1.9066,                 1.4813,                 1.9506,              0.0011263,              0.0011263,              0.0011263
                     32,                 1.7824,                 1.4429,                 1.6599,                0.77238,                0.49953,                 0.5507,                0.26079,                 1.7515,                 1.4479,                 1.8238,              0.0011221,              0.0011221,              0.0011221
                     33,                 1.7371,                 1.4012,                 1.6131,                0.78923,                0.54796,                0.57276,                0.28572,                 1.8146,                 1.3656,                 1.8275,               0.001118,               0.001118,               0.001118
                     34,                 1.7313,                 1.4235,                 1.6301,                0.87161,                0.44229,                0.59547,                0.27687,                 1.9601,                 1.4213,                 1.9478,              0.0011139,              0.0011139,              0.0011139
                     35,                 1.7237,                  1.354,                 1.6026,                0.79274,                0.48513,                0.59555,                0.29803,                 1.7195,                 1.3955,                 1.8051,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.6939,                 1.3768,                 1.6094,                 0.8092,                 0.5269,                0.58979,                 0.3126,                 1.7272,                 1.3388,                 1.8088,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.6912,                 1.3393,                 1.5876,                0.77383,                0.52102,                0.58074,                 0.2865,                 1.8136,                 1.3855,                 1.8778,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.7054,                 1.3951,                  1.599,                0.84348,                0.53738,                0.63415,                 0.3149,                 1.8089,                 1.2834,                  1.851,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.6892,                   1.32,                 1.5882,                0.81028,                0.48409,                0.55584,                0.25871,                 1.8426,                 1.4305,                 1.8823,              0.0010933,              0.0010933,              0.0010933
                     40,                 1.7091,                 1.3488,                 1.6014,                0.85601,                0.52266,                0.60872,                0.30419,                 1.7764,                 1.3117,                 1.8308,              0.0010891,              0.0010891,              0.0010891
                     41,                 1.7027,                 1.3603,                 1.5983,                0.82774,                0.53809,                0.59764,                0.29886,                 1.7548,                 1.2788,                 1.7965,               0.001085,               0.001085,               0.001085
                     42,                 1.6424,                 1.2858,                 1.5553,                0.80607,                 0.5253,                0.57826,                0.29485,                 1.7575,                 1.3068,                 1.7963,              0.0010809,              0.0010809,              0.0010809
                     43,                 1.6086,                 1.2626,                  1.539,                0.67711,                0.63662,                0.63237,                0.32876,                 1.6934,                 1.2488,                 1.7713,              0.0010768,              0.0010768,              0.0010768
                     44,                 1.6284,                 1.2599,                 1.5156,                0.84193,                0.57539,                 0.6418,                0.33408,                 1.7466,                 1.2069,                  1.787,              0.0010726,              0.0010726,              0.0010726
                     45,                 1.5929,                 1.2338,                 1.5216,                0.85437,                0.51647,                0.61021,                0.31576,                 1.7367,                 1.2471,                 1.7593,              0.0010685,              0.0010685,              0.0010685
                     46,                  1.593,                 1.2087,                 1.5258,                0.87638,                0.53509,                0.63131,                0.32483,                 1.7005,                   1.28,                  1.748,              0.0010644,              0.0010644,              0.0010644
                     47,                 1.5934,                  1.289,                 1.5374,                0.86083,                0.53889,                0.65138,                0.32094,                  1.716,                 1.2274,                 1.7652,              0.0010603,              0.0010603,              0.0010603
                     48,                 1.5715,                 1.1901,                 1.4801,                0.79991,                0.55204,                0.63713,                0.33548,                 1.6796,                 1.1945,                 1.7621,              0.0010561,              0.0010561,              0.0010561
                     49,                 1.5392,                  1.183,                 1.4757,                0.88672,                 0.5343,                0.66212,                0.33922,                 1.6868,                 1.1589,                 1.7437,               0.001052,               0.001052,               0.001052
                     50,                 1.4966,                 1.1561,                  1.447,                0.87261,                0.49926,                0.60287,                0.31399,                 1.7183,                 1.2113,                 1.7289,              0.0010479,              0.0010479,              0.0010479
                     51,                 1.5389,                 1.2019,                 1.4989,                0.91784,                0.52908,                0.62774,                0.30946,                 1.6648,                 1.1841,                 1.7197,              0.0010438,              0.0010438,              0.0010438
                     52,                 1.5565,                 1.1775,                 1.5098,                0.77094,                0.57167,                0.62044,                0.30956,                 1.7158,                  1.259,                 1.7539,              0.0010396,              0.0010396,              0.0010396
                     53,                  1.556,                 1.1871,                 1.4946,                0.78785,                0.59881,                0.64614,                0.34424,                 1.6763,                 1.1129,                 1.7251,              0.0010355,              0.0010355,              0.0010355
                     54,                 1.5389,                 1.1869,                 1.4746,                0.73057,                0.60584,                 0.6794,                 0.3692,                  1.657,                  1.148,                 1.6847,              0.0010314,              0.0010314,              0.0010314
                     55,                 1.5594,                  1.195,                 1.4698,                0.84371,                0.59888,                0.65879,                0.34579,                 1.6664,                 1.1504,                 1.7242,              0.0010273,              0.0010273,              0.0010273
                     56,                 1.5326,                   1.16,                 1.4646,                0.83513,                0.58861,                0.65364,                0.33263,                 1.6674,                  1.143,                 1.6964,              0.0010231,              0.0010231,              0.0010231
                     57,                 1.5084,                 1.1634,                 1.4496,                0.67477,                 0.5985,                0.66596,                0.34492,                 1.7067,                 1.1331,                 1.7445,               0.001019,               0.001019,               0.001019
                     58,                 1.5247,                 1.1514,                  1.462,                0.85555,                0.57881,                0.64949,                0.34111,                 1.6128,                 1.1643,                 1.6842,              0.0010149,              0.0010149,              0.0010149
                     59,                 1.4835,                 1.1683,                 1.4419,                0.69247,                 0.6015,                 0.6537,                0.34604,                 1.5951,                 1.1348,                 1.6858,              0.0010107,              0.0010107,              0.0010107
                     60,                 1.5417,                  1.172,                 1.4638,                 0.6722,                0.69159,                0.69999,                0.36481,                 1.6347,                 1.1873,                 1.6903,              0.0010066,              0.0010066,              0.0010066
                     61,                 1.4741,                 1.0879,                 1.4365,                0.65981,                0.60111,                0.69065,                 0.3544,                 1.6414,                 1.0892,                 1.6747,              0.0010025,              0.0010025,              0.0010025
                     62,                   1.47,                  1.119,                 1.4451,                0.83417,                0.58046,                0.67074,                0.37246,                 1.6713,                 1.1064,                 1.7378,             0.00099837,             0.00099837,             0.00099837
                     63,                 1.5023,                 1.1292,                 1.4686,                0.69084,                0.59731,                0.68221,                0.37462,                 1.6532,                 1.1172,                 1.7086,             0.00099425,             0.00099425,             0.00099425
                     64,                 1.4426,                 1.0883,                 1.4305,                0.84465,                0.62632,                0.72733,                 0.3796,                 1.7015,                 1.0917,                 1.7167,             0.00099013,             0.00099013,             0.00099013
                     65,                 1.4246,                 1.0861,                 1.4207,                 0.5938,                0.61376,                0.61057,                0.33322,                 1.6304,                 1.1273,                 1.7162,               0.000986,               0.000986,               0.000986
                     66,                 1.4405,                 1.0818,                 1.4038,                0.71927,                0.58913,                0.67873,                 0.3747,                 1.5943,                 1.0932,                 1.6387,             0.00098187,             0.00098187,             0.00098187
                     67,                 1.4088,                 1.0441,                 1.3951,                0.75171,                0.57644,                0.68528,                 0.3651,                 1.6105,                 1.1436,                 1.6751,             0.00097775,             0.00097775,             0.00097775
                     68,                 1.4527,                 1.0575,                 1.4203,                0.83013,                0.58074,                0.67258,                 0.3609,                 1.6481,                 1.0976,                 1.6757,             0.00097362,             0.00097362,             0.00097362
                     69,                 1.4315,                 1.0526,                 1.4263,                 0.8129,                0.56954,                0.67663,                0.34336,                 1.6937,                 1.1097,                  1.699,              0.0009695,              0.0009695,              0.0009695
                     70,                 1.4326,                 1.0784,                  1.414,                0.73227,                0.56971,                0.65381,                0.33843,                 1.6768,                 1.1252,                  1.717,             0.00096537,             0.00096537,             0.00096537
                     71,                 1.4469,                 1.0538,                 1.4257,                0.78577,                0.65363,                0.69632,                0.37935,                 1.5966,                 1.0845,                 1.6613,             0.00096125,             0.00096125,             0.00096125
                     72,                 1.4344,                 1.0235,                 1.3994,                0.84608,                0.61724,                0.69683,                0.36815,                 1.6594,                 1.0511,                 1.7067,             0.00095712,             0.00095712,             0.00095712
                     73,                 1.4344,                 1.0516,                 1.4109,                0.75567,                 0.6912,                0.73029,                0.39554,                 1.6349,                 1.0565,                 1.6633,               0.000953,               0.000953,               0.000953
                     74,                 1.4257,                 1.0321,                 1.3786,                0.63767,                0.72345,                0.71179,                0.39114,                 1.6196,                 1.0362,                 1.6493,             0.00094887,             0.00094887,             0.00094887
                     75,                 1.4297,                 1.0322,                 1.3932,                0.77338,                0.69331,                0.72938,                 0.4173,                 1.5916,                 1.0363,                 1.6157,             0.00094475,             0.00094475,             0.00094475
